City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,31.73,80,90,17.0,CA,1635043762
1,sitka,57.0531,-135.33,48.09,66,90,11.5,US,1635043743
2,provideniya,64.3833,-173.3,24.26,78,100,8.68,RU,1635043780
3,ancud,-41.8697,-73.8203,48.42,77,82,9.42,CL,1635043756
4,talara,-4.5772,-81.2719,66.18,84,92,14.99,PE,1635044200
5,tiznit,29.5833,-9.5,61.79,65,24,1.16,MA,1635043500
6,fortuna,40.5982,-124.1573,59.86,90,90,5.01,US,1635043823
7,port alfred,-33.5906,26.891,56.64,72,27,13.65,ZA,1635044051
8,ilo,-17.6394,-71.3375,61.07,81,36,7.07,PE,1635044200
9,yellowknife,62.456,-114.3525,42.42,80,75,17.27,CA,1635043515
10,ushuaia,-54.8,-68.3,33.46,86,75,12.66,AR,1635043683
11,nur,52.6683,22.3221,41.32,73,100,10.22,PL,1635044201
12,hermanus,-34.4187,19.2345,54.9,71,23,4.9,ZA,1635043722
13,biak,-0.9131,122.8766,84.49,60,45,2.53,ID,1635044201
14,rikitea,-23.1203,-134.9692,74.91,79,100,19.22,PF,1635043629
15,jamestown,42.097,-79.2353,44.29,95,75,1.01,US,1635043716
16,bambari,5.768,20.6757,70.59,93,68,1.07,CF,1635044202
17,albany,42.6001,-73.9662,47.44,81,60,4.94,US,1635043533
18,longyearbyen,78.2186,15.6401,15.64,86,0,6.91,SJ,1635043738
19,atuona,-9.8,-139.0333,78.15,78,17,18.41,PF,1635043747
20,tacna,-18.0056,-70.2483,52.7,81,15,2.35,PE,1635044202
21,pevek,69.7008,170.3133,9.23,91,100,5.28,RU,1635043718
22,te anau,-45.4167,167.7167,54.07,94,100,0.58,NZ,1635044203
23,punta arenas,-53.15,-70.9167,37.51,81,20,17.27,CL,1635044203
24,matara,5.9485,80.5353,83.95,66,61,11.95,LK,1635044203
25,thompson,55.7435,-97.8558,24.96,93,20,0.0,CA,1635043740
26,cabedelo,-6.9811,-34.8339,79.47,76,36,11.56,BR,1635044204
27,roald,62.5833,6.1333,51.94,66,90,13.8,NO,1635043829
28,atar,20.5169,-13.0499,78.49,19,11,7.58,MR,1635044204
29,dubbo,-32.25,148.6167,69.93,35,0,13.8,AU,1635044204
30,barrow,71.2906,-156.7887,30.22,80,90,13.8,US,1635043645
31,tonantins,-2.8731,-67.8022,75.63,94,2,1.66,BR,1635044205
32,bluff,-46.6,168.3333,52.32,94,100,5.99,NZ,1635043730
33,nikolskoye,59.7035,30.7861,34.39,91,72,8.16,RU,1635043713
34,ust-kuyga,70.0167,135.6,4.48,93,100,2.39,RU,1635044205
35,khatanga,71.9667,102.5,6.8,92,95,16.02,RU,1635043747
36,norman wells,65.282,-126.8329,32.04,80,75,0.0,CA,1635044205
37,tautira,-17.7333,-149.15,80.62,86,100,19.46,PF,1635044206
38,pechenga,69.5259,31.1703,23.86,90,67,9.69,RU,1635044206
39,qaqortoq,60.7167,-46.0333,32.77,64,21,5.39,GL,1635044206
40,busselton,-33.65,115.3333,78.04,58,99,7.49,AU,1635043732
41,clyde river,70.4692,-68.5914,17.15,84,92,11.54,CA,1635044207
42,taltal,-25.4,-70.4833,57.97,78,2,4.72,CL,1635043842
43,tura,25.5198,90.2201,76.01,62,19,0.89,IN,1635043760
